npaid	smiles
NPA000475	C[C@H]1C/C(=C\[C@@H]([C@H](OC(=O)[C@H](C(NC(=O)[C@H](N(C(=O)[C@@H](NC1=O)C)C)CC2=CNC3=CC=CC=C32)C4=CC(=C(C=C4)O)Br)OC)C)C)/C
NPA000477	CC(C)C[C@@]1(C[C@@](N1)(C)C(=O)O)C(=O)O
NPA000483	C1C2=C(CO1)C(=CC(=O)C(=C2)O)O
NPA000490	C[C@@H]1CC[C@@H]([C@]2(O1)CC(=O)[C@H]([C@@H](O2)C)O)O
NPA000491	C[C@@H]1C2=CC(=C(C(=C2C(=O)N1C3=C(C=C(C=C3)OC)OCC=C(C)C)OC)C)OC/C=C(\C)/CCC=C(C)C
NPA000492	CC(C)CC(=O)NC(=O)C1=COC(=CC1=O)/C=C/CC/C=C/C=C/C(=O)O
NPA000494	CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NCCC(=O)OC(C(=O)N2CCC[C@H]2C(=O)N1)CC(CCl)O)C)C)C(C)CC)C
NPA000495	C[C@H]1C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CCC(=O)O)CC2=CNC3=CC=CC=C32)C(C)C)C(C)C
NPA000497	COCC1=COC2=CC[C@H]([C@H]([C@]2(C1=O)O)O)C=C
NPA000499	CC[C@@]12C=C([C@@H]3[C@H]([C@@H](C4=CC(=O)C=C([C@]34O)N1C(=O)[C@](C2=O)(C)O)O[C@H]5CC[C@H]([C@H](O5)C)O)C)C
NPA000502	C1(C(C(=C(Cl)Cl)C2(C1(Cl)Cl)C(O2)Cl)(Cl)Cl)O
NPA000504	C1=CC(=C(C(=C1)O)O)C(=O)N[C@@H](CO)C(=O)OC[C@@H](C(=O)O)NC(=O)C2=C(C(=CC=C2)O)O
NPA000507	CC[C@H](C)[C@@H](C(=O)N(CO)[C@H](CCC1=NC(=CS1)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C[C@H](C)C(=O)O)C(C)C)NC(=O)[C@H]3CCCCN3C
NPA000508	CCCC[C@@H](C)[C@@H]([C@H](C)C(=O)/C(=C/[C@H]([C@H]([C@H](C(=O)N/C=C\C1=CC(=C(C=C1)O)Cl)OC)O)OC)/C)O
NPA000511	CCCCC[C@H](C/C=C/CCC(=O)NC[C@@H]([C@H]1[C@H](CC=C(C1=O)C)O)OC)OC
NPA000512	C[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C
NPA000517	C[C@@H]1CCCCC[C@@H]([C@H](/C=C\C(=O)O1)O)O
NPA000532	CCCCCCC[C@@H]1CC(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)C(C)CC)CC2=CC=CC=C2)[C@H](C)O)CO)CC(C)C
NPA000535	CC(=O)OCC(CO)NC(=O)C1=CC=CC=C1O
NPA000537	C[C@@H]1[C@H]2C[C@@H]3[C@H](O2)/C=C/C=C\C=C/C(=O)OC4C=CC(C/C=C/CC/C=C/C(C([C@H]5C[C@@H](C(C(O5)C/C=C/[C@@H]1O3)C)O)O)O)OC4/C(=C/C(C)CCCCC(=O)O)/C
NPA000553	C[C@@H]1C(=O)OC([C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N1)CCC(=O)N)[C@H](C)O)C(C)C)C(C)C)NC(=O)CC(CCCCCCCCCCCCN=C(N)N)O)C
NPA000554	CCC1CCCC(CCC(C(CCCNC1=O)C)OC2C(C(C(C(O2)C)O)N)O)C
